source_id,filename,source_path,title,isbn,first_author,main_category,sub_category,status,destination_path,notes,updated_at,copy_status
SRC-000001,A First Course in Coding Theory by R. A. Hill.pdf,D:\Readings\A First Course in Coding Theory by R. A. Hill.pdf,A First Course in Coding Theory,0198538030,R. A. Hill,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000002,2019  Contemporary Abstract Algebra 7ed - Gallian.pdf,D:\Readings\Algebra\2019  Contemporary Abstract Algebra 7ed - Gallian.pdf,Contemporary Abstract Algebra,9780547165097,Gallian,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra | local_bib=volume-iv-mathematical-spaces,2026-06-26T00:22:25+00:00,
SRC-000003,A Book Of Abstract Algebra - Pinter.pdf,D:\Readings\Algebra\A Book Of Abstract Algebra - Pinter.pdf,A Book Of Abstract Algebra,9780486474175,Pinter,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra,2026-06-26T00:22:25+00:00,
SRC-000005,A Course in Universal Algebra - Burris.pdf,D:\Readings\Algebra\A Course in Universal Algebra - Burris.pdf,A Course in Universal Algebra,,Burris,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra,2026-06-26T00:22:25+00:00,
SRC-000006,A first Course in Group Theory - Davvaz.pdf,D:\Readings\Algebra\A first Course in Group Theory - Davvaz.pdf,A first Course in Group Theory,9789811663642,Davvaz,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra | local_bib=volume-iv-mathematical-spaces | flags=ambiguous_subject,2026-06-26T00:22:25+00:00,
SRC-000007,A Gentle Introduction to Group Theory - Subaiei.pdf,D:\Readings\Algebra\A Gentle Introduction to Group Theory - Subaiei.pdf,A Gentle Introduction to Group Theory,9789819901463,Subaiei,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra | local_bib=volume-iv-mathematical-spaces | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000008,A Survey of Modern Algebra - Birkhoff.pdf,D:\Readings\Algebra\A Survey of Modern Algebra - Birkhoff.pdf,A Survey of Modern Algebra,,Birkhoff,11-reference-and-miscellaneous,uncategorized,pending,,classifier=unknown | flags=manual_subject_review;missing_toc;needs_ocr;unknown_subject,2026-06-26T00:22:25+00:00,
SRC-000009,Abstract Algebra - Basic Graduate - Ash.pdf,D:\Readings\Algebra\Abstract Algebra - Basic Graduate - Ash.pdf,Abstract Algebra - Basic Graduate,,Ash,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra,2026-06-26T00:22:25+00:00,
SRC-000010,Abstract Algebra Theory and Applications - Judson.pdf,D:\Readings\Algebra\Abstract Algebra Theory and Applications - Judson.pdf,Abstract Algebra Theory and Applications,,Judson,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra,2026-06-26T00:22:25+00:00,
SRC-000011,Algebra Chapter 0 - Aluffi.pdf,D:\Readings\Algebra\Algebra Chapter 0 - Aluffi.pdf,Algebra Chapter 0,9780821847817,Aluffi,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra | local_bib=volume-iv-mathematical-spaces,2026-06-26T00:22:25+00:00,
SRC-000012,Algebra I - Gorodentsev.pdf,D:\Readings\Algebra\Algebra I - Gorodentsev.pdf,Algebra I,9783319452845,Gorodentsev,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra | local_bib=volume-iv-mathematical-spaces,2026-06-26T00:22:25+00:00,
SRC-000014,Algebra Notes From the Underground - Aluffi.pdf,D:\Readings\Algebra\Algebra Notes From the Underground - Aluffi.pdf,Algebra,9781108955911,Aluffi,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra,2026-06-26T00:22:25+00:00,
SRC-000015,An Introduction to Module Theory - Assem.pdf,D:\Readings\Algebra\An Introduction to Module Theory - Assem.pdf,An Introduction to Module Theory,9780198904908,Assem,04-topology-and-geometry,differential-geometry,pending,,classifier=differential-geometry | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000016,An Invitation to General Algebra and Universal Constructions - Bergman.pdf,D:\Readings\Algebra\An Invitation to General Algebra and Universal Constructions - Bergman.pdf,An Invitation to General Algebra and Universal Constructions,,Bergman,00-foundations,category-theory,pending,,classifier=category-theory | local_bib=volume-iv-mathematical-spaces,2026-06-26T00:22:25+00:00,
SRC-000017,Ancient Mathematics - Herrmann.pdf,D:\Readings\Algebra\Ancient Mathematics - Herrmann.pdf,Ancient Mathematics,9783662664933,Herrmann,08-applied-and-computational-mathematics,numerical-analysis,pending,,classifier=numerical-analysis | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000020,Introduction to Boolean Algebras - Halmos.pdf,D:\Readings\Algebra\Introduction to Boolean Algebras - Halmos.pdf,Introduction to Boolean Algebras,9780387402932,Halmos,04-topology-and-geometry,point-set-topology,pending,,classifier=topology | local_bib=volume-iv-mathematical-spaces,2026-06-26T00:22:25+00:00,
SRC-000021,Introduction to Ring and Module Theory - Facchini.pdf,D:\Readings\Algebra\Introduction to Ring and Module Theory - Facchini.pdf,Introduction to Ring and Module Theory,9783031825088,Facchini,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra | local_bib=volume-iv-mathematical-spaces,2026-06-26T00:22:25+00:00,
SRC-000022,Lectures on ABstract ALgebra - Preliminary Version - Elman.pdf,D:\Readings\Algebra\Lectures on ABstract ALgebra - Preliminary Version - Elman.pdf,Lectures on ABstract ALgebra - Preliminary Version,,Elman,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra,2026-06-26T00:22:25+00:00,
SRC-000023,Linear Algebra Done Right 4e - Axler.pdf,D:\Readings\Algebra\Linear Algebra Done Right 4e - Axler.pdf,Linear Algebra Done Right,,Axler,01-algebra,linear-algebra,pending,,classifier=linear-algebra | local_bib=volume-iv-mathematical-spaces,2026-06-26T00:22:25+00:00,
SRC-000025,Mathematical Structures - Hilgert.pdf,D:\Readings\Algebra\Mathematical Structures - Hilgert.pdf,Mathematical Structures,9783662694114,Hilgert,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000027,Undergraduate Algbraic Geometry - Reid.pdf,D:\Readings\Algebra\Undergraduate Algbraic Geometry - Reid.pdf,Undergraduate Algbraic Geometry,,Reid,04-topology-and-geometry,point-set-topology,pending,,classifier=topology | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000028,Undergraduate Algebra - Lang.pdf,D:\Readings\Algebra\Undergraduate Algebra - Lang.pdf,Undergraduate Algebra,9781468492347,Lang,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra | local_bib=volume-iv-mathematical-spaces,2026-06-26T00:22:25+00:00,
SRC-000029,104.pdf,D:\Readings\Analysis\104.pdf,104,,,03-analysis,real-analysis,pending,,classifier=real-analysis,2026-06-26T00:22:25+00:00,
SRC-000030,1103038644.pdf,D:\Readings\Analysis\1103038644.pdf,1103038644,,M. Frechet,01-algebra,abstract-algebra,pending,,classifier=abstract-algebra | flags=ambiguous_subject;manual_subject_review;missing_toc,2026-06-26T00:22:25+00:00,
SRC-000031,1508.05639v1.pdf,D:\Readings\Analysis\1508.05639v1.pdf,1508.05639v1,,,03-analysis,calculus,pending,,classifier=calculus | flags=manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000032,17920-pdf.pdf,D:\Readings\Analysis\17920-pdf.pdf,17920-pdf,,Henry Fine This,03-analysis,real-analysis,pending,,classifier=real-analysis | flags=manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000033,A Brief History of Analysis - Spalt.pdf,D:\Readings\Analysis\A Brief History of Analysis - Spalt.pdf,A Brief History of Analysis,9783031006494,Spalt,03-analysis,real-analysis,pending,,classifier=real-analysis,2026-06-26T00:22:25+00:00,
SRC-000034,A Course in Combinatorics e2 - Lint.pdf,D:\Readings\Analysis\A Course in Combinatorics e2 - Lint.pdf,A Course in Combinatorics,9780511672897,Lint,07-discrete-mathematics-and-combinatorics,combinatorics,pending,,classifier=combinatorics-graph-theory | local_bib=volume-v-complex-analysis,2026-06-26T00:22:25+00:00,
SRC-000036,A Course in Modern Analysis and its Applications - Cohen.pdf,D:\Readings\Analysis\A Course in Modern Analysis and its Applications - Cohen.pdf,A Course in Modern Analysis and its Applications,9780511061660,Cohen,03-analysis,real-analysis,pending,,classifier=real-analysis | local_bib=volume-iii-bounds-sequences-and-series | flags=ambiguous_subject;manual_subject_review,2026-06-26T00:22:25+00:00,
SRC-000038,A Course in Multivariable Analysis - Ghorpade.pdf,D:\Readings\Analysis\A Course in Multivariable Analysis - Ghorpade.pdf,A Course in Multivariable Analysis,9781441916204,Ghorpade,03-analysis,calculus,pending,,classifier=calculus,2026-06-26T00:22:25+00:00,
SRC-000039,A Course on Optimal Control.pdf,D:\Readings\Analysis\A Course on Optimal Control.pdf,A Course on Optimal Control,9783031366543,,05-differential-equations-and-dynamical-systems,ordinary-differential-equations,pending,,classifier=ode-dynamical-systems | flags=ambiguous_subject,2026-06-26T00:22:25+00:00,
SRC-000040,a first course in category theory.pdf,D:\Readings\Analysis\a first course in category theory.pdf,a first course in category theory,9783031428982,Fonds Wetenschappelijk Onderzoek,00-foundations,category-theory,pending,,classifier=category-theory,2026-06-26T00:22:25+00:00,
SRC-000042,A First Course in Mathematical Modeling Fourth - 4e - Weir.pdf,D:\Readings\Analysis\A First Course in Mathematical Modeling Fourth - 4e - Weir.pdf,A First Course in Mathematical Modeling Fourth - 4e,,Weir,11-reference-and-miscellaneous,uncategorized,pending,,classifier=unknown | flags=manual_subject_review;missing_toc;needs_ocr;unknown_subject,2026-06-26T00:22:25+00:00,
